x		y
1		1
mz		int
200.00		0
200.20		0
200.40		0
200.60		0
200.80		0
201.00		0
201.20		0
201.40		2
201.60		0
201.80		2
202.00		0
202.20		0
202.40		0
202.60		0
202.80		0
203.00		0
203.20		0
203.40		0
203.60		0
203.80		0
204.00		0
204.20		0
204.40		0
204.60		0
204.80		0
205.00		0
205.20		0
205.40		0
205.60		0
205.80		0
206.00		0
206.20		0
206.40		0
206.60		0
206.80		0
207.00		0
207.20		0
207.40		0
207.60		0
207.80		0
208.00		0
208.20		0
208.40		0
208.60		0
208.80		0
209.00		0
209.20		0
209.40		0
209.60		2
209.80		0
210.00		0
210.20		0
210.40		0
210.60		0
210.80		0
211.00		0
211.20		0
211.40		0
211.60		0
211.80		0
212.00		0
212.20		0
212.40		0
212.60		0
212.80		0
213.00		0
213.20		0
213.40		0
213.60		0
213.80		0
214.00		0
214.20		0
214.40		0
214.60		0
214.80		0
215.00		0
215.20		0
215.40		0
215.60		0
215.80		0
216.00		0
216.20		0
216.40		0
216.60		0
216.80		0
217.00		0
217.20		0
217.40		2
217.60		0
217.80		0
218.00		0
218.20		0
218.40		0
218.60		0
218.80		0
219.00		0
219.20		0
219.40		0
219.60		0
219.80		0
220.00		0
220.20		0
220.40		0
220.60		0
220.80		0
221.00		0
221.20		0
221.40		0
221.60		0
221.80		0
222.00		0
222.20		0
222.40		0
222.60		0
222.80		0
223.00		0
223.20		0
223.40		0
223.60		0
223.80		0
224.00		0
224.20		0
224.40		0
224.60		0
224.80		0
225.00		0
225.20		0
225.40		0
225.60		0
225.80		0
226.00		0
226.20		0
226.40		0
226.60		0
226.80		0
227.00		0
227.20		0
227.40		0
227.60		0
227.80		0
228.00		0
228.20		0
228.40		0
228.60		0
228.80		0
229.00		0
229.20		0
229.40		0
229.60		0
229.80		0
230.00		0
230.20		0
230.40		0
230.60		0
230.80		0
231.00		0
231.20		0
231.40		0
231.60		0
231.80		0
232.00		0
232.20		0
232.40		0
232.60		0
232.80		0
233.00		0
233.20		0
233.40		0
233.60		0
233.80		0
234.00		0
234.20		0
234.40		0
234.60		0
234.80		0
235.00		0
235.20		0
235.40		0
235.60		2
235.80		0
236.00		0
236.20		0
236.40		0
236.60		0
236.80		0
237.00		2
237.20		0
237.40		0
237.60		0
237.80		0
238.00		0
238.20		0
238.40		0
238.60		0
238.80		0
239.00		0
239.20		0
239.40		0
239.60		0
239.80		0
240.00		0
240.20		0
240.40		0
240.60		0
240.80		0
241.00		0
241.20		0
241.40		0
241.60		0
241.80		0
242.00		0
242.20		0
242.40		0
242.60		0
242.80		0
243.00		0
243.20		0
243.40		0
243.60		0
243.80		0
244.00		0
244.20		0
244.40		0
244.60		0
244.80		0
245.00		0
245.20		0
245.40		0
245.60		0
245.80		0
246.00		0
246.20		0
246.40		0
246.60		0
246.80		0
247.00		0
247.20		2
247.40		0
247.60		0
247.80		0
248.00		0
248.20		0
248.40		0
248.60		0
248.80		0
249.00		0
249.20		0
249.40		0
249.60		0
249.80		0
250.00		0
250.20		0
250.40		0
250.60		0
250.80		0
251.00		0
251.20		0
251.40		0
251.60		0
251.80		0
252.00		0
252.20		0
252.40		0
252.60		0
252.80		0
253.00		0
253.20		0
253.40		0
253.60		0
253.80		0
254.00		0
254.20		0
254.40		0
254.60		0
254.80		0
255.00		0
255.20		0
255.40		0
255.60		0
255.80		0
256.00		0
256.20		0
256.40		0
256.60		0
256.80		0
257.00		0
257.20		0
257.40		0
257.60		0
257.80		0
258.00		0
258.20		0
258.40		0
258.60		0
258.80		0
259.00		0
259.20		0
259.40		0
259.60		0
259.80		0
260.00		0
260.20		0
260.40		0
260.60		0
260.80		0
261.00		0
261.20		0
261.40		0
261.60		0
261.80		0
262.00		0
262.20		0
262.40		0
262.60		0
262.80		0
263.00		0
263.20		0
263.40		0
263.60		2
263.80		0
264.00		0
264.20		0
264.40		0
264.60		0
264.80		0
265.00		4
265.20		0
265.40		2
265.60		0
265.80		0
266.00		0
266.20		0
266.40		0
266.60		0
266.80		0
267.00		0
267.20		0
267.40		0
267.60		0
267.80		0
268.00		0
268.20		0
268.40		0
268.60		0
268.80		0
269.00		0
269.20		0
269.40		0
269.60		0
269.80		0
270.00		0
270.20		0
270.40		0
270.60		0
270.80		0
271.00		0
271.20		0
271.40		0
271.60		0
271.80		0
272.00		0
272.20		0
272.40		0
272.60		0
272.80		0
273.00		0
273.20		0
273.40		0
273.60		0
273.80		0
274.00		0
274.20		0
274.40		0
274.60		0
274.80		0
275.00		0
275.20		0
275.40		0
275.60		0
275.80		0
276.00		0
276.20		0
276.40		0
276.60		0
276.80		0
277.00		0
277.20		0
277.40		0
277.60		0
277.80		0
278.00		0
278.20		2
278.40		0
278.60		0
278.80		0
279.00		0
279.20		0
279.40		0
279.60		0
279.80		0
280.00		0
280.20		0
280.40		0
280.60		0
280.80		0
281.00		0
281.20		0
281.40		2
281.60		0
281.80		0
282.00		0
282.20		0
282.40		0
282.60		0
282.80		0
283.00		0
283.20		0
283.40		0
283.60		2
283.80		0
284.00		0
284.20		0
284.40		0
284.60		0
284.80		0
285.00		0
285.20		0
285.40		0
285.60		0
285.80		2
286.00		0
286.20		0
286.40		0
286.60		0
286.80		2
287.00		0
287.20		0
287.40		0
287.60		0
287.80		0
288.00		0
288.20		0
288.40		0
288.60		0
288.80		0
289.00		0
289.20		0
289.40		0
289.60		0
289.80		0
290.00		0
290.20		0
290.40		0
290.60		0
290.80		0
291.00		0
291.20		0
291.40		0
291.60		0
291.80		0
292.00		0
292.20		0
292.40		0
292.60		2
292.80		0
293.00		0
293.20		0
293.40		0
293.60		0
293.80		0
294.00		0
294.20		0
294.40		2
294.60		0
294.80		0
295.00		0
295.20		0
295.40		0
295.60		0
295.80		0
296.00		0
296.20		0
296.40		0
296.60		0
296.80		0
297.00		0
297.20		0
297.40		0
297.60		0
297.80		0
298.00		0
298.20		0
298.40		0
298.60		0
298.80		0
299.00		0
299.20		0
299.40		0
299.60		0
299.80		0
